nr_powiatu;Obwodowa Komisja Wyborcza nr;BARTOSZEWICZ Artur;BIEJAT Magdalena Agnieszka;BRAUN Grzegorz Michał;HOŁOWNIA Szymon Franciszek;JAKUBIAK Marek;MACIAK Maciej;MENTZEN Sławomir Jerzy;NAWROCKI Karol Tadeusz;SENYSZYN Joanna;STANOWSKI Krzysztof Jakub;TRZASKOWSKI Rafał Kazimierz;WOCH Marek Marian;ZANDBERG Adrian Tadeusz;
20102;Obwodowa Komisja Wyborcza numer 3;1;7;30;5;1;1;49;70;3;3;73;0;11;
20102;Obwodowa Komisja Wyborcza numer 2;4;18;38;20;5;2;115;147;10;9;241;1;28;
20102;Obwodowa Komisja Wyborcza numer 15;1;6;6;4;0;0;34;34;0;0;42;0;2;
20102;Obwodowa Komisja Wyborcza numer 4;1;12;33;17;1;1;106;206;3;3;83;0;8;
20102;Obwodowa Komisja Wyborcza numer 13;0;5;15;8;1;0;26;32;0;1;27;0;3;
20102;Obwodowa Komisja Wyborcza numer 7;3;23;38;32;0;3;149;195;2;3;175;2;32;
20202;Obwodowa Komisja Wyborcza numer 1;1;24;37;41;3;0;76;177;3;17;417;0;21;
20202;Obwodowa Komisja Wyborcza numer 5;8;25;39;23;2;4;65;168;3;7;249;0;18;
20202;Obwodowa Komisja Wyborcza numer 6;5;26;34;24;3;0;83;208;3;9;329;0;29;
20102;Obwodowa Komisja Wyborcza numer 19;1;9;24;4;2;0;63;85;2;2;75;0;4;
20202;Obwodowa Komisja Wyborcza numer 4;0;18;35;11;2;2;45;189;10;5;226;1;11;
20202;Obwodowa Komisja Wyborcza numer 10;1;12;20;15;4;0;45;145;7;4;183;0;15;
20202;Obwodowa Komisja Wyborcza numer 3;3;31;34;23;4;0;65;227;6;6;208;0;16;
20102;Obwodowa Komisja Wyborcza numer 20;1;11;20;21;3;0;46;67;2;1;71;0;1;
20102;Obwodowa Komisja Wyborcza numer 17;0;9;22;11;2;0;85;116;8;6;147;0;23;
20202;Obwodowa Komisja Wyborcza numer 9;0;39;36;17;7;3;51;151;3;8;272;0;18;
20202;Obwodowa Komisja Wyborcza numer 2;4;34;56;66;8;1;96;236;8;12;440;1;44;
20102;Obwodowa Komisja Wyborcza numer 21;2;4;12;3;0;0;28;39;0;2;44;1;8;
20202;Obwodowa Komisja Wyborcza numer 8;3;30;26;18;3;3;53;209;6;8;269;0;17;
20202;Obwodowa Komisja Wyborcza numer 7;1;22;41;23;2;4;63;156;6;5;283;0;22;
20102;Obwodowa Komisja Wyborcza numer 18;0;12;3;3;1;0;20;46;1;1;38;0;8;
20202;Obwodowa Komisja Wyborcza numer 11;8;24;50;39;9;0;92;212;8;6;391;0;31;
20202;Obwodowa Komisja Wyborcza numer 12;3;25;48;23;4;4;87;156;7;12;193;0;25;
20202;Obwodowa Komisja Wyborcza numer 15;4;38;51;40;1;1;119;264;5;11;323;0;31;
20201;Obwodowa Komisja Wyborcza numer 3;2;25;36;23;2;0;110;191;7;5;222;0;27;
20202;Obwodowa Komisja Wyborcza numer 13;3;20;39;24;2;1;87;180;4;4;165;0;18;
20201;Obwodowa Komisja Wyborcza numer 4;5;29;38;25;4;2;78;207;10;6;266;0;21;
20201;Obwodowa Komisja Wyborcza numer 2;5;24;52;43;3;1;121;174;7;18;225;1;28;
20202;Obwodowa Komisja Wyborcza numer 17;4;20;29;28;6;2;71;149;3;4;175;1;26;
20202;Obwodowa Komisja Wyborcza numer 18;3;31;49;42;2;0;100;193;12;3;278;0;17;
20202;Obwodowa Komisja Wyborcza numer 23;0;0;0;0;0;0;0;9;0;0;8;0;0;
20201;Obwodowa Komisja Wyborcza numer 1;2;14;41;20;2;0;99;186;8;4;199;0;26;
20202;Obwodowa Komisja Wyborcza numer 16;1;31;38;23;2;4;73;161;7;7;365;0;14;
20202;Obwodowa Komisja Wyborcza numer 21;2;21;44;25;6;0;126;187;6;8;201;1;22;
20202;Obwodowa Komisja Wyborcza numer 20;5;33;58;26;3;1;81;210;10;7;280;0;24;
20202;Obwodowa Komisja Wyborcza numer 22;1;5;1;6;0;0;17;12;1;3;114;0;0;
20202;Obwodowa Komisja Wyborcza numer 14;4;25;51;25;5;2;100;188;7;11;264;1;18;
20202;Obwodowa Komisja Wyborcza numer 19;3;22;33;19;3;1;70;197;5;7;243;0;33;
20201;Obwodowa Komisja Wyborcza numer 14;3;28;35;34;3;0;73;157;2;7;328;1;31;
20201;;0;27;34;22;0;0;72;183;6;7;242;0;19;
20201;Obwodowa Komisja Wyborcza numer 13;2;26;29;23;5;0;65;148;0;6;153;1;17;
20201;Obwodowa Komisja Wyborcza numer 15;6;23;46;21;2;1;91;163;11;5;222;0;36;
20201;Obwodowa Komisja Wyborcza numer 19;0;15;38;23;2;1;49;166;7;7;207;2;25;
20201;;3;21;45;15;5;1;50;145;10;10;183;2;29;
20201;Obwodowa Komisja Wyborcza numer 11;0;34;24;26;4;0;49;178;2;6;225;0;16;
20201;Obwodowa Komisja Wyborcza numer 17;2;19;48;19;6;0;78;116;5;6;143;0;27;
20201;Obwodowa Komisja Wyborcza numer 7;2;31;31;26;1;3;81;189;6;5;259;1;22;
20201;Obwodowa Komisja Wyborcza numer 8;4;29;30;21;2;0;79;184;8;7;246;0;26;
20201;Obwodowa Komisja Wyborcza numer 6;1;33;47;21;3;0;95;141;9;10;202;0;38;
20201;Obwodowa Komisja Wyborcza numer 10;0;33;39;35;8;0;101;175;6;9;315;3;17;
20201;Obwodowa Komisja Wyborcza numer 18;6;15;25;26;1;0;91;132;6;4;218;0;27;
20201;Obwodowa Komisja Wyborcza numer 5;2;27;37;25;5;0;55;138;6;8;184;0;21;
20201;Obwodowa Komisja Wyborcza numer 12;3;17;26;22;4;1;52;177;4;6;174;0;16;
20201;Obwodowa Komisja Wyborcza numer 20;4;29;42;28;1;1;82;159;2;10;304;0;23;
20201;Obwodowa Komisja Wyborcza numer 22;0;0;0;0;0;0;0;5;0;1;4;0;0;
20101;Obwodowa Komisja Wyborcza numer 4;5;28;40;47;3;1;119;217;13;18;390;2;33;
20201;Obwodowa Komisja Wyborcza numer 21;3;22;28;17;1;0;63;123;4;5;148;0;19;
20101;Obwodowa Komisja Wyborcza numer 9;2;46;35;34;4;0;117;182;7;8;337;1;28;
20101;Obwodowa Komisja Wyborcza numer 7;4;25;28;37;5;5;114;228;3;14;413;1;36;
20101;Obwodowa Komisja Wyborcza numer 13;3;17;25;30;3;0;86;162;6;13;330;0;30;
20101;Obwodowa Komisja Wyborcza numer 12;6;22;28;37;2;2;84;213;5;6;335;0;17;
20101;Obwodowa Komisja Wyborcza numer 3;1;28;61;51;4;1;123;241;9;7;356;1;39;
20101;Obwodowa Komisja Wyborcza numer 8;7;31;51;34;0;1;88;219;9;12;334;0;40;
20101;Obwodowa Komisja Wyborcza numer 11;5;31;24;40;4;4;93;166;8;10;318;1;31;
20101;Obwodowa Komisja Wyborcza numer 2;6;29;37;29;5;2;113;228;9;13;381;1;27;
20101;Obwodowa Komisja Wyborcza numer 1;2;32;66;50;6;2;200;287;10;10;361;1;32;
20101;Obwodowa Komisja Wyborcza numer 14;1;37;40;54;4;0;121;225;6;8;452;0;35;
20101;Obwodowa Komisja Wyborcza numer 5;6;31;47;39;2;4;87;202;12;10;343;1;29;
20101;Obwodowa Komisja Wyborcza numer 10;1;24;49;30;3;0;98;203;9;7;272;0;20;
20101;Obwodowa Komisja Wyborcza numer 6;2;13;45;17;7;3;63;170;5;6;212;3;24;
20101;Obwodowa Komisja Wyborcza numer 17;4;34;45;30;5;1;71;178;10;7;250;0;25;
20101;Obwodowa Komisja Wyborcza numer 19;4;33;41;56;6;1;111;197;11;15;475;0;40;
20101;Obwodowa Komisja Wyborcza numer 15;0;30;29;26;3;0;78;194;4;7;396;0;23;
20101;Obwodowa Komisja Wyborcza numer 16;4;30;57;40;7;6;99;191;10;15;367;2;25;
20101;Obwodowa Komisja Wyborcza numer 22;1;2;5;2;1;0;13;16;0;0;29;0;3;
20101;Obwodowa Komisja Wyborcza numer 18;1;19;45;41;6;1;122;156;8;10;271;1;42;
20101;Obwodowa Komisja Wyborcza numer 24;0;1;2;0;1;0;2;3;0;0;13;0;1;
20101;Obwodowa Komisja Wyborcza numer 21;1;23;50;32;5;2;109;205;8;5;341;1;40;
20301;Obwodowa Komisja Wyborcza numer 4;1;31;56;47;1;3;137;249;10;9;313;4;59;
20101;Obwodowa Komisja Wyborcza numer 23;1;2;0;1;0;0;0;9;0;0;6;1;0;
20101;Obwodowa Komisja Wyborcza numer 20;4;49;79;53;12;5;209;234;11;16;473;1;60;
20301;Obwodowa Komisja Wyborcza numer 1;7;92;88;91;9;3;234;296;19;21;614;0;87;
20301;Obwodowa Komisja Wyborcza numer 3;5;46;44;41;5;1;123;327;12;9;306;0;38;
20301;Obwodowa Komisja Wyborcza numer 5;1;16;39;23;7;3;50;202;3;3;213;0;22;
20301;Obwodowa Komisja Wyborcza numer 6;5;20;29;30;4;0;82;248;8;5;305;0;29;
20301;Obwodowa Komisja Wyborcza numer 2;5;47;64;38;9;0;133;299;8;13;410;0;47;
20301;Obwodowa Komisja Wyborcza numer 7;5;25;22;15;6;2;97;224;3;7;273;1;30;
20301;Obwodowa Komisja Wyborcza numer 13;4;51;71;49;7;5;161;340;7;14;381;0;45;
20301;Obwodowa Komisja Wyborcza numer 21;6;32;18;29;3;0;73;183;7;6;201;1;25;
20301;Obwodowa Komisja Wyborcza numer 9;2;23;43;29;5;1;72;239;14;10;288;1;40;
20301;Obwodowa Komisja Wyborcza numer 10;5;26;36;38;6;1;93;188;5;5;269;0;26;
20301;Obwodowa Komisja Wyborcza numer 16;5;40;65;53;5;2;120;385;9;7;418;0;37;
20301;Obwodowa Komisja Wyborcza numer 15;2;51;53;50;7;0;137;360;11;21;429;3;48;
20301;Obwodowa Komisja Wyborcza numer 8;2;20;27;22;1;0;70;208;3;4;234;0;23;
20301;Obwodowa Komisja Wyborcza numer 17;3;59;51;47;5;2;130;327;10;10;458;0;45;
20301;Obwodowa Komisja Wyborcza numer 12;6;34;34;41;5;0;94;264;5;9;385;0;40;
20301;Obwodowa Komisja Wyborcza numer 14;7;33;64;53;6;1;131;314;9;8;374;0;51;
20301;Obwodowa Komisja Wyborcza numer 18;4;39;54;46;14;2;128;318;4;8;392;0;42;
20301;Obwodowa Komisja Wyborcza numer 19;3;33;48;52;2;2;89;336;2;16;387;1;37;
20301;Obwodowa Komisja Wyborcza numer 11;1;16;22;27;0;1;58;139;3;3;190;1;15;
20301;Obwodowa Komisja Wyborcza numer 20;3;39;46;45;12;1;132;295;8;7;387;1;42;
20301;Obwodowa Komisja Wyborcza numer 22;2;36;42;40;7;0;138;318;3;9;349;1;39;
20301;Obwodowa Komisja Wyborcza numer 29;2;32;70;52;8;3;141;387;11;9;379;0;40;
20301;Obwodowa Komisja Wyborcza numer 25;2;24;43;51;3;1;147;183;8;8;319;1;48;
20301;Obwodowa Komisja Wyborcza numer 31;4;44;47;56;8;1;133;184;8;13;228;0;42;
20306;Obwodowa Komisja Wyborcza numer 2;4;18;38;43;6;2;119;222;5;13;201;0;37;
20301;Obwodowa Komisja Wyborcza numer 36;2;2;0;0;0;1;5;16;0;1;20;0;2;
20301;Obwodowa Komisja Wyborcza numer 34;0;13;13;10;0;1;23;14;1;0;110;0;0;
20301;Obwodowa Komisja Wyborcza numer 24;3;23;45;25;1;1;108;234;3;9;294;0;30;
20301;Obwodowa Komisja Wyborcza numer 23;2;18;44;39;2;1;97;209;3;11;278;0;31;
20301;Obwodowa Komisja Wyborcza numer 30;5;48;71;55;4;4;166;258;12;18;288;0;39;
20301;Obwodowa Komisja Wyborcza numer 33;2;39;47;53;5;2;138;238;11;11;260;0;42;
20301;Obwodowa Komisja Wyborcza numer 27;6;59;66;58;4;3;156;386;11;16;418;1;40;
20301;Obwodowa Komisja Wyborcza numer 32;6;26;49;24;5;2;107;210;3;10;267;0;22;
20301;Obwodowa Komisja Wyborcza numer 35;1;1;2;4;2;0;0;10;4;0;7;0;0;
20301;Obwodowa Komisja Wyborcza numer 28;0;8;13;22;3;1;36;82;5;8;107;0;13;
20301;Obwodowa Komisja Wyborcza numer 26;5;18;37;37;5;0;119;227;7;8;218;5;32;
20306;Obwodowa Komisja Wyborcza numer 1;1;23;82;31;8;2;172;325;11;10;150;1;38;
20304;Obwodowa Komisja Wyborcza numer 3;1;12;24;15;3;0;95;187;5;6;89;2;21;
20305;Obwodowa Komisja Wyborcza numer 3;1;9;8;5;2;1;48;121;4;5;50;1;12;
20304;Obwodowa Komisja Wyborcza numer 5;0;5;8;3;2;0;47;70;0;1;39;0;3;
20504;Obwodowa Komisja Wyborcza numer 2;0;20;38;26;1;0;102;177;9;4;195;1;12;
20504;Obwodowa Komisja Wyborcza numer 3;3;19;48;32;4;1;119;200;5;8;196;1;22;
20402;Obwodowa Komisja Wyborcza numer 3;0;7;36;1;3;1;43;155;1;2;51;0;10;
20402;Obwodowa Komisja Wyborcza numer 2;6;18;26;14;7;1;92;150;4;1;73;0;5;
20402;Obwodowa Komisja Wyborcza numer 4;0;5;19;2;2;0;18;59;1;3;18;1;6;
20304;Obwodowa Komisja Wyborcza numer 4;1;11;19;5;0;1;50;87;3;5;110;0;7;
20402;Obwodowa Komisja Wyborcza numer 1;0;14;40;6;1;3;66;124;2;7;79;0;2;
20304;Obwodowa Komisja Wyborcza numer 2;1;7;24;1;1;0;60;99;1;3;47;0;9;
20504;Obwodowa Komisja Wyborcza numer 1;3;13;47;16;5;3;82;205;5;6;140;0;17;
20403;Obwodowa Komisja Wyborcza numer 1;3;12;21;10;6;0;50;104;0;0;57;0;12;
20305;Obwodowa Komisja Wyborcza numer 1;0;12;22;15;0;0;85;124;5;6;71;0;9;
20305;Obwodowa Komisja Wyborcza numer 2;1;13;16;11;2;2;59;188;1;1;45;0;18;
20304;Obwodowa Komisja Wyborcza numer 1;4;38;41;34;6;2;134;332;3;8;217;0;27;
20403;Obwodowa Komisja Wyborcza numer 4;1;19;33;6;3;0;33;85;2;4;47;0;11;
20403;Obwodowa Komisja Wyborcza numer 2;1;9;30;11;0;3;60;146;3;3;66;1;9;
20403;Obwodowa Komisja Wyborcza numer 6;0;4;13;5;2;0;36;56;2;0;24;0;3;
20401;Obwodowa Komisja Wyborcza numer 3;0;25;41;35;10;1;137;182;4;7;185;2;34;
20401;Obwodowa Komisja Wyborcza numer 1;3;38;50;26;3;1;98;220;6;7;222;0;28;
20401;Obwodowa Komisja Wyborcza numer 4;3;18;23;26;7;0;65;159;4;5;266;0;9;
20401;Obwodowa Komisja Wyborcza numer 2;0;53;41;35;4;2;106;259;8;15;412;0;30;
20403;Obwodowa Komisja Wyborcza numer 5;1;6;15;8;3;0;35;52;0;4;34;0;6;
20506;Obwodowa Komisja Wyborcza numer 2;0;23;51;41;5;1;152;282;7;6;280;1;22;
20403;Obwodowa Komisja Wyborcza numer 7;2;3;18;7;0;1;27;56;2;2;21;0;1;
20506;Obwodowa Komisja Wyborcza numer 1;6;25;66;37;6;1;177;310;6;7;211;2;29;
20403;Obwodowa Komisja Wyborcza numer 8;2;7;18;1;1;0;46;56;0;4;20;0;3;
20403;Obwodowa Komisja Wyborcza numer 9;0;6;21;1;0;0;24;98;1;1;28;0;7;
20506;Obwodowa Komisja Wyborcza numer 3;3;1;0;0;1;1;0;5;0;0;3;0;0;
20403;Obwodowa Komisja Wyborcza numer 3;0;10;21;12;3;2;70;130;4;1;43;0;10;
20401;Obwodowa Komisja Wyborcza numer 5;0;19;36;18;1;0;55;111;6;1;150;0;23;
20401;Obwodowa Komisja Wyborcza numer 7;7;52;48;64;6;3;151;295;18;16;452;0;45;
20404;Obwodowa Komisja Wyborcza numer 1;1;19;38;20;6;0;90;209;5;2;124;1;24;
20401;Obwodowa Komisja Wyborcza numer 12;4;19;38;18;5;0;80;129;2;6;88;0;15;
20505;Obwodowa Komisja Wyborcza numer 3;2;11;12;20;4;1;33;72;4;5;68;0;13;
20401;Obwodowa Komisja Wyborcza numer 6;1;19;33;24;2;0;62;143;1;2;169;0;22;
20505;Obwodowa Komisja Wyborcza numer 2;1;24;65;24;8;1;152;218;5;9;179;0;28;
20505;Obwodowa Komisja Wyborcza numer 1;2;31;84;33;8;5;185;333;7;9;265;4;33;
20401;Obwodowa Komisja Wyborcza numer 9;2;28;62;26;3;7;123;206;3;5;113;0;13;
20603;Obwodowa Komisja Wyborcza numer 3;3;27;42;42;3;1;86;212;9;14;388;0;35;
20603;Obwodowa Komisja Wyborcza numer 2;4;37;50;26;5;3;88;181;7;10;362;1;31;
20603;Obwodowa Komisja Wyborcza numer 1;1;29;41;29;6;0;75;130;6;8;290;1;26;
20401;Obwodowa Komisja Wyborcza numer 13;1;11;16;5;0;2;43;47;0;1;56;1;11;
20401;Obwodowa Komisja Wyborcza numer 10;9;25;72;26;11;1;149;207;8;4;168;3;37;
